Neighborhood,total_arrests,arrests_per_month,felony_count,misdemeanor_count,infraction_count,felony_ratio,misdemeanor_ratio,infraction_ratio,violent_crime_count,property_crime_count,society_crime_count,groupB_crime_count,multi_crime_count,violent_ratio,property_ratio,society_ratio,groupB_ratio,night_crime_count,night_ratio,arrests_2024,arrests_2025,yoy_change,improving_flag
ALLEGHENY CENTER,395,18.80952380952381,61,201,82,0.15443037974683543,0.5088607594936709,0.20759493670886076,59,16,135,128,43,0.14936708860759493,0.04050632911392405,0.34177215189873417,0.3240506329113924,173,0.4379746835443038,201,194,-0.034653465346534656,0
ALLEGHENY WEST,55,3.9285714285714284,4,24,24,0.07272727272727272,0.43636363636363634,0.43636363636363634,8,5,7,33,0,0.14545454545454545,0.09090909090909091,0.12727272727272726,0.6,41,0.7454545454545455,32,23,-0.2727272727272727,1
ALLENTOWN,443,20.136363636363637,89,243,40,0.20090293453724606,0.5485327313769752,0.09029345372460497,114,59,113,118,26,0.25733634311512416,0.13318284424379231,0.255079006772009,0.26636568848758463,138,0.3115124153498871,223,220,-0.013392857142857142,0
ARLINGTON,118,5.9,22,63,13,0.1864406779661017,0.5338983050847458,0.11016949152542373,32,15,29,30,8,0.2711864406779661,0.1271186440677966,0.2457627118644068,0.2542372881355932,52,0.4406779661016949,63,55,-0.125,1
ARLINGTON HEIGHTS,76,5.066666666666666,13,44,9,0.17105263157894737,0.5789473684210527,0.11842105263157894,34,4,16,18,1,0.4473684210526316,0.05263157894736842,0.21052631578947367,0.23684210526315788,25,0.32894736842105265,33,43,0.29411764705882354,0
BANKSVILLE,131,7.277777777777778,27,76,19,0.20610687022900764,0.5801526717557252,0.1450381679389313,50,16,19,35,6,0.3816793893129771,0.12213740458015267,0.1450381679389313,0.26717557251908397,68,0.5190839694656488,76,55,-0.2727272727272727,1
BEDFORD DWELLINGS,362,16.454545454545453,89,187,28,0.24585635359116023,0.5165745856353591,0.07734806629834254,97,29,121,78,25,0.26795580110497236,0.08011049723756906,0.3342541436464088,0.2154696132596685,127,0.35082872928176795,174,188,0.08,0
BEECHVIEW,288,13.090909090909092,55,166,28,0.1909722222222222,0.5763888888888888,0.09722222222222222,130,38,25,69,18,0.4513888888888889,0.13194444444444445,0.08680555555555555,0.23958333333333334,113,0.3923611111111111,138,150,0.08633093525179857,0
BELTZHOOVER,153,7.65,11,102,26,0.0718954248366013,0.6666666666666666,0.16993464052287582,49,14,26,51,12,0.3202614379084967,0.0915032679738562,0.16993464052287582,0.3333333333333333,39,0.2549019607843137,81,72,-0.10975609756097561,1
BLOOMFIELD,374,17.0,83,171,66,0.22192513368983957,0.4572192513368984,0.17647058823529413,66,78,43,147,30,0.17647058823529413,0.20855614973262032,0.11497326203208556,0.393048128342246,134,0.3582887700534759,192,182,-0.05181347150259067,0
BLUFF,601,27.318181818181817,70,351,90,0.11647254575707154,0.5840266222961731,0.1497504159733777,115,49,193,155,58,0.1913477537437604,0.08153078202995008,0.3211314475873544,0.2579034941763727,222,0.36938435940099834,288,313,0.08650519031141868,0
BON AIR,106,5.888888888888889,25,41,33,0.2358490566037736,0.3867924528301887,0.3113207547169811,11,23,17,53,0,0.10377358490566038,0.2169811320754717,0.16037735849056603,0.5,23,0.2169811320754717,70,36,-0.4788732394366197,1
BRIGHTON HEIGHTS,421,19.136363636363637,104,209,74,0.24703087885985747,0.49643705463182897,0.17577197149643706,110,47,121,113,17,0.26128266033254155,0.11163895486935867,0.28741092636579574,0.2684085510688836,108,0.25653206650831356,249,172,-0.308,1
BROOKLINE,479,21.772727272727273,82,235,97,0.17118997912317327,0.4906054279749478,0.20250521920668058,144,56,61,145,49,0.30062630480167013,0.11691022964509394,0.12734864300626306,0.302713987473904,160,0.33402922755741127,235,244,0.038135593220338986,0
CALIFORNIA-KIRKBRIDE,217,9.863636363636363,57,107,14,0.2626728110599078,0.4930875576036866,0.06451612903225806,61,33,50,55,8,0.28110599078341014,0.15207373271889402,0.2304147465437788,0.2534562211981567,32,0.14746543778801843,91,126,0.3804347826086957,0
CARRICK,970,44.09090909090909,211,502,134,0.2175257731958763,0.5175257731958763,0.13814432989690723,277,145,197,265,56,0.28556701030927834,0.14948453608247422,0.20309278350515464,0.27319587628865977,392,0.4041237113402062,481,489,0.016597510373443983,0
CENTRAL BUSINESS DISTRICT,4580,208.1818181818182,637,2642,717,0.1390829694323144,0.5768558951965066,0.15655021834061136,533,582,1724,1344,276,0.11637554585152839,0.12707423580786026,0.3764192139737991,0.2934497816593886,914,0.19956331877729258,2317,2263,-0.023295944779982744,0
CENTRAL LAWRENCEVILLE,133,6.045454545454546,18,71,19,0.13533834586466165,0.5338345864661654,0.14285714285714285,35,27,10,43,9,0.2631578947368421,0.20300751879699247,0.07518796992481203,0.3233082706766917,55,0.41353383458646614,60,73,0.21311475409836064,0
CENTRAL NORTHSIDE,463,21.045454545454547,77,262,68,0.16630669546436286,0.5658747300215983,0.1468682505399568,60,43,204,102,39,0.12958963282937366,0.09287257019438445,0.4406047516198704,0.2203023758099352,191,0.41252699784017277,214,249,0.16279069767441862,0
CENTRAL OAKLAND,193,9.19047619047619,33,79,54,0.17098445595854922,0.40932642487046633,0.27979274611398963,38,31,13,89,16,0.19689119170984457,0.16062176165803108,0.06735751295336788,0.46113989637305697,78,0.40414507772020725,100,93,-0.06930693069306931,0
CHARTIERS,16,2.0,2,7,1,0.125,0.4375,0.0625,7,0,1,4,2,0.4375,0.0,0.0625,0.25,5,0.3125,11,5,-0.5,1
CHATEAU,320,14.545454545454545,55,146,99,0.171875,0.45625,0.309375,45,28,58,152,31,0.140625,0.0875,0.18125,0.475,96,0.3,141,179,0.2676056338028169,0
CRAFTON HEIGHTS,210,9.545454545454545,54,113,28,0.2571428571428571,0.5380952380952381,0.13333333333333333,90,28,33,43,11,0.42857142857142855,0.13333333333333333,0.15714285714285714,0.20476190476190476,62,0.29523809523809524,130,80,-0.3816793893129771,1
