Neighborhood,Safety_Score
SWISSHELM PARK,0.9221273511490399
POINT BREEZE NORTH,0.8215072661301153
SOUTHSHORE,0.805536968060817
NORTH OAKLAND,0.794306997995457
RIDGEMONT,0.7801612061094082
NEW HOMESTEAD,0.7606050623964133
REGENT SQUARE,0.7472020130421413
GREENFIELD,0.738781687085538
ESPLEN,0.7324907715027102
POLISH HILL,0.717767954580094
SQUIRREL HILL NORTH,0.717522363355691
STANTON HEIGHTS,0.716227843246933
CHARTIERS,0.7133733461218452
WEST END,0.7120338138085357
SQUIRREL HILL SOUTH,0.6968579862001161
DUQUESNE HEIGHTS,0.6938883148403885
ALLEGHENY WEST,0.6924919317489455
SUMMER HILL,0.686956262073632
CHATEAU,0.684566518786107
BELTZHOOVER,0.6726320302454951
GLEN HAZEL,0.6722963284286779
WESTWOOD,0.6711425495531818
CENTRAL OAKLAND,0.6701904585320666
ALLEGHENY CENTER,0.6684943784892947
MORNINGSIDE,0.6667056480303863
BON AIR,0.6637480282028827
FRIENDSHIP,0.6612676506141326
POINT BREEZE,0.6601851400365071
CRAWFORD-ROBERTS,0.6581065993633641
TROY HILL,0.6560568287056714
BLUFF,0.6557160717068198
MOUNT WASHINGTON,0.6444501970665953
SOUTH SIDE SLOPES,0.6412142594289079
NORTH SHORE,0.6402926542037359
CENTRAL LAWRENCEVILLE,0.6373120910586538
OAKWOOD,0.636442011248087
LINCOLN PLACE,0.6360095895063386
SOUTH OAKLAND,0.6351374348935915
WEST OAKLAND,0.6306796930499772
BROOKLINE,0.6303639293284431
CENTRAL NORTHSIDE,0.6297094935085304
STRIP DISTRICT,0.6294243483941914
HIGHLAND PARK,0.6291222343140197
MIDDLE HILL,0.628993473062311
BLOOMFIELD,0.621949733284515
HOMEWOOD SOUTH,0.6173561001982478
HOMEWOOD WEST,0.6162524015497599
SPRING GARDEN,0.6143089945731142
SHADYSIDE,0.6129128073132739
ARLINGTON,0.6124341229330681
PERRY SOUTH,0.6116776893223519
HAYS,0.6104005609602245
UPPER LAWRENCEVILLE,0.6092946552360287
ALLENTOWN,0.6081063133254238
FAIRYWOOD,0.6038059356642681
CALIFORNIA-KIRKBRIDE,0.6023711662741622
TERRACE VILLAGE,0.5994150962840257
SPRING HILL–CITY VIEW,0.5960661692028886
BRIGHTON HEIGHTS,0.5953582023887678
ARLINGTON HEIGHTS,0.5945290239575646
HAZELWOOD,0.5944714988216414
EAST CARNEGIE,0.5940432295417166
LOWER LAWRENCEVILLE,0.5938041563176661
ELLIOTT,0.5923363322007871
BEDFORD DWELLINGS,0.5903429890266838
MARSHALL-SHADELAND,0.5888768828861755
MANCHESTER,0.5878446981075222
SAINT CLAIR,0.5871232917907824
OVERBROOK,0.5859445655073652
WINDGAP,0.5803422762572574
LINCOLN-LEMINGTON-BELMAR,0.5802732262774564
FINEVIEW,0.579953685179954
EAST ALLEGHENY,0.5798374138190809
PERRY NORTH,0.5739110476718288
HOMEWOOD NORTH,0.5653050374710735
BEECHVIEW,0.5603563227662257
CARRICK,0.5559819572181355
SHERADEN,0.5530034754016057
BANKSVILLE,0.5508838156503522
EAST LIBERTY,0.5504028200912132
LARIMER,0.5499539116645105
GARFIELD,0.5497787482047531
CRAFTON HEIGHTS,0.5441239115391802
UPPER HILL,0.5401111497568479
EAST HILLS,0.5393226557240176
KNOXVILLE,0.5388846725942431
SOUTH SIDE FLATS,0.5311329786940309
LINCOLN–LEMINGTON–BELMAR,0.5298748063422105
NORTHVIEW HEIGHTS,0.5254390153981432
MOUNT OLIVER,0.5002839341004839
CENTRAL BUSINESS DISTRICT,0.4971548763326993
