Neighborhood,value
Allegheny Center,0.2162536557014741
Allegheny West,0.1655797186174956
Allentown,0.20133267267453264
Arlington,0.18277045992870683
Arlington Heights,0.07110340342510298
Banksville,0.05832187665413946
Bedford Dwellings,0.11702790379879059
Beechview,0.16210569369034578
Beltzhoover,0.1913914482499198
Bloomfield,0.2725260918816057
Bluff,0.7194428681351799
Bon Air,0.16028773523833997
Brighton Heights,0.12429360395724924
Brookline,0.12949784562518607
California-Kirkbride,0.10588537952547473
Carrick,0.12036376894813805
Central Business District,0.5164639828175116
Central Lawrenceville,0.10388538842353456
Central Northside,0.10576882685945965
Central Oakland,1.0
Chartiers City,0.06310427053977889
Chateau,0.0
Crafton Heights,0.11086110308491885
Crawford-Roberts,0.17921027178814236
Duquesne Heights,0.11473503734505253
East Allegheny,0.1204854807442079
East Carnegie,0.1961348949209344
East Hills,0.15613427762419518
East Liberty,0.22699377892006795
Elliott,0.20915434887171447
Esplen,0.17154558981687465
Fairywood,0.22291963544828225
Fineview,0.20859174569075492
Friendship,0.3945330851071129
Garfield,0.17552181209739823
Glen Hazel,0.2325387681109237
Greenfield,0.16453828984297927
Hays,0.07048881283698705
Hazelwood,0.13947239710736264
Highland Park,0.20556329313370195
Homewood North,0.1974719562554128
Homewood South,0.13376145057312655
Homewood West,0.10826713082805202
Knoxville,0.15255273121856147
Larimer,0.0874240523850841
Lincoln Place,0.09443156874123682
Lincoln-Lemington-Belmar,0.20514738135923172
Lower Lawrenceville,0.14297061294168653
Manchester,0.1338873758722298
Marshall-Shadeland,0.09755971460310876
Middle Hill,0.1538235265624326
Morningside,0.15856557775939337
Mount Oliver Borough,0.1723468216080336
Mount Washington,0.1680313127569479
Mt. Oliver,0.12040337820196313
New Homestead,0.15002892265974543
North Oakland,0.9283881809051423
North Shore,0.07387817038803382
Northview Heights,0.1640537432189575
Oakwood,0.06062959326370913
Overbrook,0.1410504128829086
Perry North,0.14230921915966596
Perry South,0.1383320216266089
Point Breeze,0.16205389521522368
Point Breeze North,0.17955594909613748
Polish Hill,0.09146956716637188
Regent Square,0.11132368836551677
Ridgemont,0.14124421564860257
Shadyside,0.40550073018037
Sheraden,0.1405435115597818
South Oakland,0.620200047229442
South Shore,0.4206951369318592
South Side Flats,0.38165462822458274
South Side Slopes,0.2699146144233709
Spring Garden,0.05928213301635594
Spring Hill-City View,0.08208237721891798
Squirrel Hill North,0.5594576586149472
Squirrel Hill South,0.23850240741726875
St. Clair,0.019342305146292378
Stanton Heights,0.17654253279710122
Strip District,0.049460103936583455
Summer Hill,0.09854792914819063
Swisshelm Park,0.12914362343024516
Terrace Village,0.6745533355020721
Troy Hill,0.1911563071631954
Upper Hill,0.27702673907713266
Upper Lawrenceville,0.15835331600515512
West End,0.381310911346749
West Oakland,0.5263068845732897
Westwood,0.108517183368436
Windgap,0.13729107352035774
