neighborhood,value
South Side Flats,1.0
Lincoln Place,0.9647996933467651
Allegheny West,0.9594846451629253
Highland Park,0.9302651536750868
Central Northside,0.9284208625572599
Upper Hill,0.9278931528894464
Bloomfield,0.9241854365056736
Lincoln-Lemington-Belmar,0.9239977697946563
Manchester,0.9233974517369623
Bluff,0.9151205387973363
Central Business District,0.8982547376024026
Central Lawrenceville,0.8859231592886152
Marshall-Shadeland,0.8709004454074876
Spring Hill-City View,0.8635250549631572
New Homestead,0.86310042893438
Carrick,0.8609053239816767
Windgap,0.8582342095759442
Fineview,0.8482441567986415
Perry South,0.8274075446833045
West Oakland,0.8169837739889629
East Allegheny,0.8132548326395621
Lower Lawrenceville,0.8069653367800143
Summer Hill,0.8011560320085154
Overbrook,0.7984236503139394
Morningside,0.7871006063370777
Polish Hill,0.7802834008097165
Hazelwood,0.7799883104293779
Knoxville,0.7742966299823231
Squirrel Hill North,0.761599602111092
Central Oakland,0.7604874139121729
Greenfield,0.7363549447834102
Brookline,0.7312653564210272
Point Breeze,0.7266780711258102
Beechview,0.7260260528533322
Perry North,0.7243849511825791
Arlington,0.7238131759517972
Homewood North,0.7147052580892462
Larimer,0.7103528412942792
Allegheny Center,0.7085261637300183
Homewood South,0.7049914783346954
Squirrel Hill South,0.7031268492647291
Shadyside,0.698625192450248
Friendship,0.6966298239278224
Elliott,0.6937622043552363
Sheraden,0.6856374142289635
Chartiers City,0.6596789011170033
St. Clair,0.6432616119569418
Brighton Heights,0.6424969429713684
South Side Slopes,0.627242655211521
Duquesne Heights,0.617061704459777
Stanton Heights,0.6051123022435105
Strip District,0.5944341170731089
East Liberty,0.5828397103267378
Mount Washington,0.5773148834527634
North Oakland,0.5740657213637199
California-Kirkbride,0.5622144925332471
Point Breeze North,0.5272753479943991
Westwood,0.5019990749716472
East Hills,0.4445556062420406
North Shore,0.3145567783670082
Crafton Heights,0.2203141928494041
Regent Square,0.037894736842105245
Banksville,
Beltzhoover,
Chateau,
Crawford-Roberts,
Middle Hill,
Oakwood,
South Oakland,
South Shore,
Spring Garden,
Swisshelm Park,
Troy Hill,
Upper Lawrenceville,
